Species	Full_Species_Name
Itigrina	Inocybe tigrina
Igrammopodia	Inocybe grammopodia
Ptriumphans	Phlegmacium triumphans
Cmicaceus	Coprinellus micaceus
Cbrunneum	Chlorophyllum brunneum
Abisporus	Agaricus bisporus
Vsurrecta	Volvariella surrecta
Arubescens	Amanita rubescens
Themisulphureum	Tricholoma hemisulphureum
Tcingulatum	Tricholoma cingulatum
Lsordida	Lepista sordida
Eclypeatum	Entoloma clypeatum
Pstipticus	Panellus stipticus
Mgalericulata	Mycena galericulata
Fvelutipes	Flammulina velutipes
Aostoyae	Armillaria ostoyae
Postreatus	Pleurotus ostreatus
Hpunicea	Hygrocybe punicea
Hcoccinea	Hygrocybe coccinea
Pcalyptriformis	Porpolomopsis calyptriformis
Girrigatus	Gliophorus irrigatus
Rcorniculata	Ramariopsis corniculata
Cfumosa	Clavaria fumosa
Bsubappendiculatus	Butyriboletus subappendiculatus
Agentilis	Aureoboletus gentilis
Rolivacea	Russula olivacea
Rfaginea	Russula faginea
Rnigricans	Russula nigricans
Rvesca	Russula vesca
Rfarinipes	Russula aff farinipes
Rdelica	Russula delica
Ltabidus	Lactarius tabidus
Lblennius	Lactarius blennius
Levosmus	Lactarius evosmus
Hcoralloides	Hericium coralloides
Sminoensis	Sparassis minoensis
Lsulphureus	Laetiporus sulphureus
Gresinaceum	Ganoderma resinaceum
Palboapiculata	Phaeoclavulina alboapiculata
Tpullulans	Tausonia pullulans
Pglauca	Platismatia glauca
Cnorvegica	Cladonia norvegica
Fmarina	Flavoplaca marina
Udeusta	Umbilicaria deusta
Aperuvianus	Arachnomyces peruvianus
Lpygmaea	Lichina pygmaea
Elanata	Ephebe lanata
Slamellicola	Simplicillium lamellicola
Cfumosorosea	Cordyceps fumosorosea
Lflavum	Leptographium flavum
Llubrica	Leotia lubrica
Rkalkhoffii	Rhizosphaera kalkhoffii
Mzobellii	Metschnikowia zobellii
Rirregularis	Rhizophagus irregularis
Eparvispora	Entomortierella parvispora
