Species	Category	Count	Coverage	Coverage_percent
Abisporus	DNA	504	309310	1.020
Abisporus	LINE	513	841042	2.773
Abisporus	LTR	1234	2103532	6.937
Abisporus	PLE	12	2430	.008
Abisporus	RC	155	86864	.286
Abisporus	Retroposon	0	0	0
Abisporus	SINE	6	1304	.004
Abisporus	Uncertain	96	13025	.042
Abisporus	Unknown	3711	2257847	7.446
Agentilis	DNA	1571	1915799	4.677
Agentilis	LINE	311	433930	1.059
Agentilis	LTR	5721	10732880	26.204
Agentilis	PLE	12	2681	.006
Agentilis	RC	322	473508	1.156
Agentilis	Retroposon	0	0	0
Agentilis	SINE	18	3192	.007
Agentilis	Uncertain	71	11606	.028
Agentilis	Unknown	6355	4866412	11.881
Aostoyae	DNA	726	294664	.538
Aostoyae	LINE	336	159475	.291
Aostoyae	LTR	2088	3314738	6.054
Aostoyae	PLE	11	2917	.005
Aostoyae	RC	375	272267	.497
Aostoyae	Retroposon	1	115	0
Aostoyae	SINE	27	20250	.036
Aostoyae	Uncertain	68	9088	.016
Aostoyae	Unknown	9551	6440358	11.763
Aperuvianus	DNA	260	357836	1.036
Aperuvianus	LINE	87	121444	.351
Aperuvianus	LTR	615	1335229	3.866
Aperuvianus	PLE	2	276	0
Aperuvianus	RC	63	21694	.062
Aperuvianus	Retroposon	0	0	0
Aperuvianus	SINE	14	2189	.006
Aperuvianus	Uncertain	255	43834	.126
Aperuvianus	Unknown	1041	637815	1.846
Apraecox	DNA	1294	763341	1.468
Apraecox	LINE	551	818937	1.575
Apraecox	LTR	1651	2209768	4.251
Apraecox	PLE	9	2575	.004
Apraecox	RC	332	221585	.426
Apraecox	Retroposon	1	112	0
Apraecox	SINE	18	3108	.005
Apraecox	Uncertain	185	25907	.049
Apraecox	Unknown	12758	8104343	15.593
Arubescens	DNA	1260	1177698	3.459
Arubescens	LINE	252	291342	.855
Arubescens	LTR	2242	3368116	9.893
Arubescens	PLE	9	2361	.006
Arubescens	RC	304	250102	.734
Arubescens	Retroposon	0	0	0
Arubescens	SINE	34	13548	.039
Arubescens	Uncertain	78	13258	.038
Arubescens	Unknown	6515	4677475	13.738
Bquercinus	DNA	527	227963	.609
Bquercinus	LINE	512	1483979	3.964
Bquercinus	LTR	1628	2002938	5.351
Bquercinus	PLE	16	4274	.011
Bquercinus	RC	9418	7780199	20.786
Bquercinus	Retroposon	0	0	0
Bquercinus	SINE	8	1634	.004
Bquercinus	Uncertain	86	52482	.140
Bquercinus	Unknown	9681	5217836	13.940
Bsubappendiculatus	DNA	1296	1089212	3.442
Bsubappendiculatus	LINE	268	377318	1.192
Bsubappendiculatus	LTR	2436	3938480	12.447
Bsubappendiculatus	PLE	11	3478	.010
Bsubappendiculatus	RC	266	196499	.621
Bsubappendiculatus	Retroposon	1	129	0
Bsubappendiculatus	SINE	3	619	.001
Bsubappendiculatus	Uncertain	75	10468	.033
Bsubappendiculatus	Unknown	5455	4281209	13.531
Cbrunneum	DNA	282	137861	.354
Cbrunneum	LINE	1805	3893718	10.020
Cbrunneum	LTR	2794	6342370	16.322
Cbrunneum	PLE	8	1585	.004
Cbrunneum	RC	163	85231	.219
Cbrunneum	Retroposon	0	0	0
Cbrunneum	SINE	38	6997	.018
Cbrunneum	Uncertain	99	12705	.032
Cbrunneum	Unknown	3763	2440947	6.281
Cfumosa	DNA	1951	1568924	3.249
Cfumosa	LINE	645	736177	1.524
Cfumosa	LTR	8037	15778629	32.680
Cfumosa	PLE	319	365613	.757
Cfumosa	RC	1100	863545	1.788
Cfumosa	Retroposon	0	0	0
Cfumosa	SINE	9	1388	.002
Cfumosa	Uncertain	247	60305	.124
Cfumosa	Unknown	8811	7483278	15.499
Cfumosorosea	DNA	145	82999	.241
Cfumosorosea	LINE	456	668158	1.946
Cfumosorosea	LTR	568	1029209	2.998
Cfumosorosea	PLE	1	125	0
Cfumosorosea	RC	63	21706	.063
Cfumosorosea	Retroposon	42	57626	.167
Cfumosorosea	SINE	1	164	0
Cfumosorosea	Uncertain	282	40036	.116
Cfumosorosea	Unknown	1332	626869	1.826
Cmicaceus	DNA	861	384218	.765
Cmicaceus	LINE	445	686394	1.366
Cmicaceus	LTR	1081	1395710	2.779
Cmicaceus	PLE	9	3137	.006
Cmicaceus	RC	265	247507	.492
Cmicaceus	Retroposon	0	0	0
Cmicaceus	SINE	13	2136	.004
Cmicaceus	Uncertain	302	42087	.083
Cmicaceus	Unknown	6063	3759022	7.485
Cnorvegica	DNA	271	403821	1.252
Cnorvegica	LINE	61	22847	.070
Cnorvegica	LTR	597	1246648	3.865
Cnorvegica	PLE	1	297	0
Cnorvegica	RC	64	25821	.080
Cnorvegica	Retroposon	0	0	0
Cnorvegica	SINE	9	1340	.004
