Species	total_interactions	cis_interactions	cis_perc	short_cis_interactions	short_cis_perc	long_cis_interactions	long_cis_perc	trans_interactions	trans_perc
Abisporus	1510600	883584	58.400	669190	44.200	214394	14.200	627016	41.600
Agentilis	33694305	13790735	40.900	5484646	16.200	8306089	24.700	19903570	59.100
Aostoyae	8708600	3984153	45.700	2062679	23.600	1921474	22.100	4724448	54.300
Aperuvianus	10321700	5090834	49.300	2534996	24.500	2555838	24.800	5230866	50.700
Arubescens	21474448	18822223	87.600	16488424	76.700	2333799	10.900	2652225	12.400
Bsubappendiculatus	18489864	15655297	84.600	13470329	72.800	2184968	11.800	2834567	15.400
Cbrunneum	12195995	5095799	41.700	4029668	33.000	1066131	8.700	7100195	58.300
Cfumosa	36631046	21756384	59.300	15824164	43.100	5932220	16.200	14874663	40.700
Cfumosorosea	182179752	49121279	26.900	17977212	9.800	31144067	17.100	133058474	73.100
Cmicaceus	30293881	23598650	77.800	21909337	72.300	1689313	5.500	6695231	22.200
Cnorvegica	29627563	12516338	42.200	6755978	22.800	5760360	19.400	17111224	57.800
Eclypeatum	9764867	5756981	58.900	4015511	41.100	1741470	17.800	4007887	41.100
Elanata	1723966	1479962	85.800	1302512	75.500	177450	10.300	244004	14.200
Eparvispora	4988729	1898146	38.000	1523522	30.500	374624	7.500	3090584	62.000
Fmarina	22942628	9641100	42.000	6912332	30.100	2728768	11.900	13301529	58.000
Fvelutipes	8383466	3360331	40.000	2316653	27.600	1043678	12.400	5023136	60.000
Girrigatus	28681202	15946934	55.600	10462601	36.400	5484333	19.200	12734268	44.400
Gresinaceum	27085386	9315008	34.300	5124276	18.900	4190732	15.400	17770378	65.700
Hcoccinea	59520443	38199058	64.100	23213231	39.000	14985827	25.100	21321385	35.900
Hcoralloides	25292120	22592881	89.300	20968411	82.900	1624470	6.400	2699239	10.700
Hpunicea	18159188	8243950	45.300	3020911	16.600	5223039	28.700	9915237	54.700
Igrammopodia	37574978	18933115	50.300	15229848	40.500	3703267	9.800	18641863	49.700
Itigrina	26468949	14916079	56.300	11490349	43.400	3425730	12.900	11552869	43.700
Lblennius	78961598	55998922	70.900	48555725	61.400	7443197	9.500	22962676	29.100
Levosmus	48219219	30061966	62.300	15426367	31.900	14635599	30.400	18157253	37.700
Lflavum	105226108	41298137	39.200	10249510	9.700	31048627	29.500	63927971	60.800
Llubrica	14925107	10469983	70.100	5922399	39.600	4547584	30.500	4455124	29.900
Lpygmaea	58453347	42784854	73.100	32461762	55.500	10323092	17.600	15668493	26.900
Lsordida	1613720	1328846	82.300	1204146	74.600	124700	7.700	284874	17.700
Lsulphureus	31519594	13642395	43.200	9199259	29.100	4443136	14.100	17877198	56.800
Ltabidus	63718494	36313983	56.900	28957430	45.400	7356553	11.500	27404511	43.100
Mgalericulata	18383169	17055158	92.700	15433568	83.900	1621590	8.800	1328011	7.300
Mzobellii	78359568	35008815	44.600	13585941	17.300	21422874	27.300	43350753	55.400
Palboapiculata	18925791	9901809	52.300	4209298	22.200	5692511	30.100	9023982	47.700
Pcalyptriformis	29358533	15662884	53.300	11017974	37.500	4644910	15.800	13695648	46.700
Pglauca	5973769	4191385	70.100	3725623	62.300	465762	7.800	1782384	29.900
Postreatus	31946519	13468054	42.100	5285584	16.500	8182470	25.600	18478465	57.900
Pstipticus	11883987	9795105	82.400	8271420	69.600	1523685	12.800	2088882	17.600
Ptriumphans	38513283	34461161	89.400	31821789	82.600	2639372	6.800	4052123	10.600
Rcorniculata	13879838	9190859	66.200	6876417	49.500	2314442	16.700	4688979	33.800
Rdelica	54072019	45530679	84.200	38088422	70.400	7442257	13.800	8541340	15.800
Rfaginea	11403928	3783595	33.100	1716612	15.000	2066983	18.100	7620333	66.900
Rfarinipes	72492327	39723094	54.700	20651656	28.400	19071438	26.300	32769233	45.300
Rirregularis	5375278	3366890	62.600	2347864	43.600	1019026	19.000	2008388	37.400
Rkalkhoffii	62156684	49296649	79.300	43215035	69.500	6081614	9.800	12860036	20.700
Rnigricans	45739684	28428174	62.100	17255842	37.700	11172332	24.400	17311510	37.900
Rolivacea	19699211	8398587	42.600	3304962	16.700	5093625	25.900	11300624	57.400
Rvesca	62231200	49510451	79.500	36022712	57.800	13487739	21.700	12720749	20.500
Slamellicola	92765014	51083928	55.000	38371090	41.300	12712838	13.700	41681086	45.000
Sminoensis	25648789	22147298	86.300	18679838	72.800	3467460	13.500	3501491	13.700
Tcingulatum	3229161	1871783	57.900	1588332	49.100	283451	8.800	1357378	42.100
Themisulphureum	57079698	25490970	44.600	18412613	32.200	7078357	12.400	31588728	55.400
Tpullulans	69939176	59768786	85.400	56295661	80.400	3473125	5.000	10170390	14.600
Udeusta	22089268	12766864	57.700	10226794	46.200	2540070	11.500	9322403	42.300
Vsurrecta	49398793	32197482	65.100	29357861	59.400	2839621	5.700	17201311	34.900
