Phylum	Species	Full_Species_Name
Basidiomycota	Abisporus	Agaricus bisporus
Basidiomycota	Cbrunneum	Chlorophyllum brunneum
Basidiomycota	Igrammopodia	Inocybe grammopodia
Basidiomycota	Itigrina	Inocybe tigrina
Basidiomycota	Ptriumphans	Phlegmacium triumphans
Basidiomycota	Cmicaceus	Coprinellus micaceus
Basidiomycota	Arubescens	Amanita rubescens
Basidiomycota	Vsurrecta	Volvariella surrecta
Basidiomycota	Eclypeatum	Entoloma clypeatum
Basidiomycota	Lsordida	Lepista sordida
Basidiomycota	Tcingulatum	Tricholoma cingulatum
Basidiomycota	Themisulphureum	Tricholoma hemisulphureum
Basidiomycota	Aostoyae	Armillaria ostoyae
Basidiomycota	Fvelutipes	Flammulina velutipes
Basidiomycota	Mgalericulata	Mycena galericulata
Basidiomycota	Pstipticus	Panellus stipticus
Basidiomycota	Postreatus	Pleurotus ostreatus
Basidiomycota	Girrigatus	Gliophorus irrigatus
Basidiomycota	Pcalyptriformis	Porpolomopsis calyptriformis
Basidiomycota	Hcoccinea	Hygrocybe coccinea
Basidiomycota	Hpunicea	Hygrocybe punicea
Basidiomycota	Cfumosa	Clavaria fumosa
Basidiomycota	Rcorniculata	Ramariopsis corniculata
Basidiomycota	Agentilis	Aureoboletus gentilis
Basidiomycota	Bsubappendiculatus	Butyriboletus subappendiculatus
Basidiomycota	Lsulphureus	Laetiporus sulphureus
Basidiomycota	Sminoensis	Sparassis minoensis
Basidiomycota	Gresinaceum	Ganoderma resinaceum
Basidiomycota	Hcoralloides	Hericium coralloides
Basidiomycota	Lblennius	Lactarius blennius
Basidiomycota	Ltabidus	Lactarius tabidus
Basidiomycota	Levosmus	Lactarius evosmus
Basidiomycota	Rdelica	Russula delica
Basidiomycota	Rfaginea	Russula faginea
Basidiomycota	Rolivacea	Russula olivacea
Basidiomycota	Rnigricans	Russula nigricans
Basidiomycota	Rfarinipes	Russula aff farinipes
Basidiomycota	Rvesca	Russula vesca
Basidiomycota	Palboapiculata	Phaeoclavulina alboapiculata
Basidiomycota	Tpullulans	Tausonia pullulans
Ascomycota	Aperuvianus	Arachnomyces peruvianus
Ascomycota	Cnorvegica	Cladonia norvegica
Ascomycota	Pglauca	Platismatia glauca
Ascomycota	Fmarina	Flavoplaca marina
Ascomycota	Udeusta	Umbilicaria deusta
Ascomycota	Elanata	Ephebe lanata
Ascomycota	Lpygmaea	Lichina pygmaea
Ascomycota	Cfumosorosea	Cordyceps fumosorosea
Ascomycota	Slamellicola	Simplicillium lamellicola
Ascomycota	Lflavum	Leptographium flavum
Ascomycota	Llubrica	Leotia lubrica
Ascomycota	Rkalkhoffii	Rhizosphaera kalkhoffii
Ascomycota	Mzobellii	Metschnikowia zobellii
Mucoromycota	Eparvispora	Entomortierella parvispora
Mucoromycota	Rirregularis	Rhizophagus irregularis
