Species	Phylum	Full_Species_Name	Model	GenomeSize_bp_wo500	GC_percent_wo500_QUAST	Chromosome_Number	Gene_cov_perc	TE_cov_perc	Cis_Interactions_perc	Trans_Interactions_perc	DNA	LINE	LTR	PLE	RC	Retroposon	SINE	Uncertain	Unknown
Abisporus	Basidiomycota	Agaricus bisporus	Rabl-Bean	30321411	46.48	13	42.321	18.357	58.4	41.6	1.02	2.773	6.937	0.008	0.286	0	0.004	0.042	7.446
Cbrunneum	Basidiomycota	Chlorophyllum brunneum	Chromosome Territories-Rabl	38856969	47.62	13	33.697	33.125	41.7	58.3	0.354	10.02	16.322	0.004	0.219	0	0.018	0.032	6.281
Igrammopodia	Basidiomycota	Inocybe grammopodia	Rabl-Bean	47529353	46.28	14	25.722	43.531	50.3	49.7	8.828	1.624	15.877	0.008	1.796	0	0.003	0.026	15.561
Itigrina	Basidiomycota	Inocybe tigrina	Rabl	41304737	47.14	14	31.942	27.928	56.3	43.7	3.238	0.874	7.751	0.009	1.132	0	0.009	0.028	15.145
Ptriumphans	Basidiomycota	Phlegmacium triumphans	Chromosome Territories-Rabl	164984872	43.09	13	7.93	78.759	89.4	10.6	13.511	2.128	44.631	0.003	4.552	0	0.007	0.111	13.895
Cmicaceus	Basidiomycota	Coprinellus micaceus	Rabl-Bean	50217556	53.75	13	36.12	12.852	77.8	22.2	0.765	1.366	2.779	0.006	0.492	0	0.004	0.083	7.485
Arubescens	Basidiomycota	Amanita rubescens	Bean	34045353	47.36	12	35.278	28.526	87.6	12.4	3.459	0.855	9.893	0.006	0.734	0	0.039	0.038	13.738
Vsurrecta	Basidiomycota	Volvariella surrecta	Chromosome Territories-Rabl	27853270	47.85	12	44.834	8.368	65.1	34.9	0.404	0.385	2.861	0.008	0.233	0	0.005	0.038	4.598
Eclypeatum	Basidiomycota	Entoloma clypeatum	Chromosome Territories-Rabl	59700562	48.78	12	19.485	55.424	58.9	41.1	2.874	2.392	36.893	0.004	0.955	0	0.005	0.034	12.398
Lsordida	Basidiomycota	Lepista sordida	Rabl	53223650	48.99	12	31.986	26.893	82.3	17.7	2.861	0.581	6.126	0.011	1.484	0	0.004	0.047	15.953
Tcingulatum	Basidiomycota	Tricholoma cingulatum	Rabl-Bean	45057690	48.52	14	26.648	45.499	57.9	42.1	8.748	2.266	14.147	0.013	1.94	0	0.003	0.031	18.608
Themisulphureum	Basidiomycota	Tricholoma hemisulphureum	Chromosome Territories-Rabl	128125011	47.14	12	10.015	74.072	44.6	55.4	8.6	2.665	34.617	0.011	2.328	0	0.091	0.052	25.897
Aostoyae	Basidiomycota	Armillaria ostoyae	Rabl	54749967	48.42	11	35.516	19.004	45.7	54.3	0.538	0.291	6.054	0.005	0.497	0	0.036	0.016	11.763
Fvelutipes	Basidiomycota	Flammulina velutipes	Rabl-Bean	37254497	49.71	12	43.486	18.215	40	60	1.791	0.305	4.81	0.008	0.516	0	0.01	0.036	10.964
